state,city,area_code,ao_type,range_code,ao_number,ao_description,category
Uttar Pradesh,Allahabad,LKN,W,20,1,"ITO-1(1),ALLAHABAD",Individual
Uttar Pradesh,Allahabad,LKN,W,20,3,"ITO-1(3),ALLAHABAD",Individual
Uttar Pradesh,Allahabad,LKN,W,20,92,"ITO-2(1), ALLAHABAD/",Both
Uttar Pradesh,Ambedkar Nagar,LKN,W,61,3,"ITO-3, AMBEDKAR NAGAR",Both
Uttar Pradesh,Amethi,LKN,W,61,92,ITO AMETHI/,Both
Uttar Pradesh,Auraiya,KNP,W,75,5,"WARD 1(1)(4), AURAIYA",Individual
Uttar Pradesh,Azamgarh,LKN,W,26,92,"ITO 3(1), AZAMGARH/",Both
Uttar Pradesh,Badaun,LKN,W,71,91,"ITO- 2(3), BADAUN-1/",Both
Uttar Pradesh,Bahraich,LKN,W,61,93,"ITO-1, BAHRAICH-NEW/",Both
Uttar Pradesh,Ballia,LKN,W,23,93,"ITO-2(4), BALLIA/",Both
Uttar Pradesh,Banda,KNP,W,54,92,"WARD 2(2)(4), BANDA/",Both
Uttar Pradesh,Banda,KNP,W,54,93,"WARD 2(2)(5), BANDA/",Both
Uttar Pradesh,Barabanki,LKN,W,93,94,ITO-5(4) BARABANKI-1/,Both
Uttar Pradesh,Baraut,KNP,W,14,6,WARD 1(5) MEERUT AT BARAUT,Individual
Uttar Pradesh,Bareilly,DLC,WX,266,2,"EXEMPTION WARD, BAREILLY",Both
Uttar Pradesh,Bareilly,LKN,W,41,11,"ITO-1(1),BAREILLY- NEW",Individual
Uttar Pradesh,Bareilly,LKN,W,41,91,"ITO-2(2), BAREILLY-NEW/",Both
Uttar Pradesh,Basti,LKN,W,61,95,ITO-BASTI-NEW/,Both
Uttar Pradesh,Bijnore,LKN,W,71,94,"ITO-3(3), BIJNORE-1/",Both
Uttar Pradesh,Bulandshahar,KNP,W,17,94,WARD 2(3)(1) BULANDSHAHAR/,Both
Uttar Pradesh,Bulandshahar,KNP,W,17,95,WARD 2(3)(2) BULANDSHAHAR/,Both
Uttar Pradesh,Chandausi,LKN,W,71,93,ITO-2(5) CHANDAUSI/,Both
Uttar Pradesh,Dadri,NWR,W,57,91,ITO CHARKHI DADRI/,Both
Uttar Pradesh,Deoband,KNP,W,23,91,ITO WARD 3(3)4 DEOBAND/,Both
Uttar Pradesh,Deoria,LKN,W,26,94,"ITO 3(4), DEORIA/",Both
Uttar Pradesh,Etah,KNP,W,75,92,"WARD 4(3)(1), ETAH/",Both
Uttar Pradesh,Etah,KNP,W,75,93,"WARD 4(3)(2), ETAH/",Both
Uttar Pradesh,Etawah,KNP,W,80,93,"WARD 2(2)(5), ETAWAH/",Both
Uttar Pradesh,Faizabad,LKN,C,61,2,DCIT Circle FAIZABAD,Both
Uttar Pradesh,Faizabad,LKN,W,61,1,"ITO-1, FAIZABAD-NEW",Both
Uttar Pradesh,Farrukhabad,KNP,W,85,91,"WARD 4(2)(1), FARRUKHABAD/",Both
Uttar Pradesh,Farrukhabad,KNP,W,85,92,"WARD 4(2)(2), FARRUKHABAD/",Both
Uttar Pradesh,Fatehpur,LKN,W,20,93,"ITO-2(4), FATEHPUR/",Both
Uttar Pradesh,Firozabad,KNP,W,80,91,"WARD 2(2)(1), FIROZABAD/",Both
Uttar Pradesh,Firozabad,KNP,W,80,92,"WARD 2(2)(2), FIROZABAD/",Both
Uttar Pradesh,Gautam Budh Nagar,KNP,C,100,1,CIRCLE 5(1)(1) GAUTAM BUDH NAGAR,Individual
Uttar Pradesh,Gautam Budh Nagar,KNP,C,102,1,CIRCLE 5(3)(1) G B NAGAR,Individual
Uttar Pradesh,Gautam Budh Nagar,KNP,W,100,1,WARD 5(1)(1) G BUDH NAGAR,Individual
Uttar Pradesh,Gautam Budh Nagar,KNP,W,100,3,WARD 5(1)(3) GAUTAM BUDH NAGAR,Individual
Uttar Pradesh,Gautam Budh Nagar,KNP,W,100,5,WARD 5(1)(5) GAUTAM BUDH NAGAR,Individual
Uttar Pradesh,Gautam Budh Nagar,KNP,W,100,91,WARD 5(2)(1) G BUDH NAGAR/,Both
Uttar Pradesh,Gautam Budh Nagar,KNP,W,100,92,WARD 5(2)(3) GAUTAM BUDH NAGAR/,Both
Uttar Pradesh,Gautam Budh Nagar,KNP,W,100,93,WARD 5(2)(4) G BUDH NAGAR/,Both
Uttar Pradesh,Gautam Budh Nagar,KNP,W,100,94,WARD 5(2)(5) GAUTAM BUDH NAGAR/,Both
Uttar Pradesh,Gautam Budh Nagar,KNP,W,102,1,WARD 5(3)(1) G BUDH NAGAR,Individual
Uttar Pradesh,Gautam Budh Nagar,KNP,W,102,2,WARD 5(3)(2) GAUTAM BUDH NAGAR,Individual
Uttar Pradesh,Gautam Budh Nagar,KNP,W,102,3,WARD 5(3)(3) G BUDH NAGAR,Individual
Uttar Pradesh,Gautam Budh Nagar,KNP,W,102,4,WARD 5(3)(4) GAUTAM BUDH NAGAR,Individual
Uttar Pradesh,Gautam Budh Nagar,KNP,W,102,5,WARD 5(3)(5) G BUDH NAGAR,Individual
Uttar Pradesh,Ghaziabad,DLC,CA,257,1,"EXEMPTION CIRCLE, GHAZIABAD",Both
Uttar Pradesh,Ghaziabad,DLC,WX,257,1,"EXEMPTION WARD, GHAZIABAD",Both
Uttar Pradesh,Ghaziabad,KNP,C,17,1,CIR-2(1)(1) GHAZIABAD,Individual
Uttar Pradesh,Ghaziabad,KNP,W,17,1,WARD 2(1)(1) GHAZIABAD,Individual
Uttar Pradesh,Ghaziabad,KNP,W,17,91,WARD 2(2)(1) GHAZIABAD/,Both
Uttar Pradesh,Ghaziabad,KNP,W,17,92,WARD 2(2)(2) GHAZIABAD/,Both
Uttar Pradesh,Ghaziabad,KNP,W,17,93,WARD 2(2)(3) GHAZIABAD/,Both
Uttar Pradesh,Ghazipur,LKN,W,23,96,"ITO-3(5), GHAZIPUR/",Both
Uttar Pradesh,Gonda,LKN,W,61,96,ITO-GONDA-NEW/,Both
Uttar Pradesh,Gorakhpur,LKN,C,26,2,"DC/ACIT-1, GORAKHPUR",Individual
Uttar Pradesh,Gorakhpur,LKN,W,26,1,"ITO-1(1), GORAKHPUR",Individual
Uttar Pradesh,Gorakhpur,LKN,W,26,95,"ITO2(1), GORAKHPUR/",Both
Uttar Pradesh,Hamirpur,NWR,W,37,93,ITO WARD HAMIRPUR/,Both
Uttar Pradesh,Hapur,KNP,W,17,96,WARD 2(3)(4) AT HAPUR/,Both
Uttar Pradesh,Hardoi,LKN,W,43,4,"ITO-3(2),HARDOI-1",Individual
Uttar Pradesh,Hathras,KNP,W,75,95,"WARD 4(3)(4), HATHRAS/",Both
Uttar Pradesh,Jaunpur,LKN,W,61,4,ITO-1 JAUNPUR-NEW,Both
Uttar Pradesh,Jhansi,KNP,W,80,94,"WARD 2(3)(1), JHANSI/",Both
Uttar Pradesh,Jhansi,KNP,W,80,96,"WARD 2(3)(5), JHANSI/",Both
Uttar Pradesh,Kannauj,KNP,W,85,93,"WARD 4(2)(3), KANNAUJ/",Both
Uttar Pradesh,Kanpur,DLC,WX,293,1,"EXEMPTION WARD, KANPUR",Both
Uttar Pradesh,Kanpur,KNP,C,51,1,"CIRCLE 1(1)(1), KANPUR",Individual
Uttar Pradesh,Kanpur,KNP,C,54,1,"CIRCLE 2(1)(1), KANPUR",Both
Uttar Pradesh,Kanpur,KNP,W,51,1,"WARD 1(1)(1), KANPUR",Individual
Uttar Pradesh,Kanpur,KNP,W,51,3,"WARD 1(1)(3), KANPUR",Individual
Uttar Pradesh,Kanpur,KNP,W,51,91,"WARD 1(2)(1), KANPUR/",Both
Uttar Pradesh,Kanpur,KNP,W,51,92,"WARD 1(2)(3), KANPUR/",Both
Uttar Pradesh,Kanpur,KNP,W,51,93,"WARD 1(3)(1), KANPUR/",Both
Uttar Pradesh,Kanpur,KNP,W,51,94,"WARD 1(3)(5), KANPUR/",Both
Uttar Pradesh,Kanpur,KNP,W,54,1,"WARD 2(1)(1), KANPUR",Individual
Uttar Pradesh,Kanpur,KNP,W,54,91,"WARD 2(2)(3), KANPUR/",Both
Uttar Pradesh,Kanpur,KNP,W,54,94,"WARD 2(3)(1), KANPUR/",Both
Uttar Pradesh,Kasganj,KNP,W,75,94,"WARD 4(3)(3), KASGANJ/",Both
Uttar Pradesh,Kaushambi,LKN,W,20,91,ITO -2(5) KAUSHAMBI/,Both
Uttar Pradesh,Khatauli,KNP,W,23,94,WARD 3(2)5 KHATAULI/,Both
Uttar Pradesh,Kushinagar,LKN,W,26,91,ITO - 2 (4) KUSHINAGAR/,Both
Uttar Pradesh,Lakhimpur,LKN,W,43,2,"ITO-3(4),LAKHIMPUR-1",Individual
Uttar Pradesh,Lalitpur,KNP,W,80,95,"WARD 2(3)(4), LALITPUR/",Both
Uttar Pradesh,Lucknow,DLC,CA,266,1,"EXEMPTION CIRCLE, LUCKNOW",Both
Uttar Pradesh,Lucknow,DLC,WX,266,1,"EXEMPTION WARD, LUCKNOW",Both
Uttar Pradesh,Lucknow,LKN,C,91,1,"ACIT- 1, LUCKNOW-NEW",Individual
Uttar Pradesh,Lucknow,LKN,C,93,1,"DCIT/ACIT-3,LUCKNOW-NEW",Individual
Uttar Pradesh,Lucknow,LKN,W,91,1,"ITO- 1(1), LUCKNOW-NEW",Individual
Uttar Pradesh,Lucknow,LKN,W,91,4,"ITO-1(4), LUCKNOW-NEW",Individual
Uttar Pradesh,Lucknow,LKN,W,91,91,"ITO-2(1), LUCKNOW-NEW/",Both
Uttar Pradesh,Lucknow,LKN,W,91,93,"ITO-4(1), LUCKNOW-NEW/",Both
Uttar Pradesh,Lucknow,LKN,W,91,94,"ITO-4(3), LUCKNOW-NEW/",Both
Uttar Pradesh,Lucknow,LKN,W,93,1,"ITO- 3(1), LUCKNOW-NEW",Individual
Uttar Pradesh,Lucknow,LKN,W,93,5,"ITO-3(5),LUCKNOW-NEW",Individual
Uttar Pradesh,Lucknow,LKN,W,93,91,"ITO 5(1), LUCKNOW-NEW/",Both
Uttar Pradesh,Lucknow,LKN,W,93,92,"ITO 6(1), LUCKNOW-NEW/",Both
Uttar Pradesh,Lucknow,LKN,W,93,93,"ITO 6(2), LUCKNOW-NEW/",Both
Uttar Pradesh,Maharajganj,LKN,W,26,4,"ITO-1(4), MAHARAJGANJ",Individual
Uttar Pradesh,Mainpuri,KNP,W,85,94,"WARD 4(2)(4), MAINPURI/",Both
Uttar Pradesh,Mainpuri,KNP,W,85,95,"WARD 4(2)(5), MAINPURI/",Both
Uttar Pradesh,Mathura,KNP,W,75,91,"WARD 1(3)(1), MATHURA/",Both
Uttar Pradesh,Mau,LKN,W,26,93,"ITO 3(3), MAU/",Both
Uttar Pradesh,Meerut,KNP,C,14,1,CIRCLE 1(1)(1) MEERUT,Individual
Uttar Pradesh,Meerut,KNP,W,14,1,WARD 1(1)(1) MEERUT,Individual
Uttar Pradesh,Meerut,KNP,W,14,3,WARD 1(1)(3) MEERUT,Individual
Uttar Pradesh,Meerut,KNP,W,14,91,WARD 1(2)(1) MEERUT/,Both
Uttar Pradesh,Meerut,KNP,W,14,92,WARD 1(2)(3) MEERUT/,Both
Uttar Pradesh,Meerut,KNP,W,14,93,WARD 1(2)(4) MEERUT/,Both
Uttar Pradesh,Meerut,KNP,W,14,94,WARD 1(2)(5) MEERUT/,Both
Uttar Pradesh,Mirzapur,LKN,W,23,94,"ITO-3(2), MIRZAPUR/",Both
Uttar Pradesh,Moradabad,LKN,W,71,1,"ITO-1,(1), MORADABAD",Both
Uttar Pradesh,Moradabad,LKN,W,71,92,"ITO-2(1), MORADABAD-NEW/",Both
Uttar Pradesh,Muzaffarnagar,KNP,C,23,1,"CIRCLE - 3(1)(1), MUZAFFARNAGAR",Individual
Uttar Pradesh,Muzaffarnagar,KNP,W,23,2,WARD 3 (1)(2) MUZAFFARNAGAR,Individual
Uttar Pradesh,Muzaffarnagar,KNP,W,23,92,WARD 3 (2)(3) MUZAFFARNAGAR/,Both
Uttar Pradesh,Muzaffarnagar,KNP,W,23,93,WARD 3 (2)(4) MUZAFFARNAGAR/,Both
Uttar Pradesh,Nazibabad,LKN,W,71,95,"ITO-3(I), NAZIBABAD-1/",Both
Uttar Pradesh,Orai,KNP,W,54,5,"WARD 2(1)(5), ORAI",Individual
Uttar Pradesh,Pilibhit,LKN,W,41,92,"ITO-2(4), PILIBHIT-1/",Both
Uttar Pradesh,Raebareli,LKN,W,61,94,"ITO-1, RAEBARELI-NEW/",Both
Uttar Pradesh,Rampur,LKN,W,71,4,"ITO-1(3), RAMPUR--2",Both
Uttar Pradesh,Saharanpur,KNP,W,23,95,WARD 3(3)(5) SAHARANPUR/,Both
Uttar Pradesh,Sambhal,LKN,W,71,2,"ITO-1(5),SAMBHAL",Both
Uttar Pradesh,Shahjahanpur,LKN,W,41,13,ITO-1(4) SHAHJAHANPUR-1,Individual
Uttar Pradesh,Shamli,KNP,W,23,4,WARD- 3(1)(4) SHAMLI,Individual
Uttar Pradesh,Sitapur,LKN,W,43,1,"ITO, SITAPUR-NEW",Individual
Uttar Pradesh,Sonbhadra,LKN,W,23,95,"ITO-3(3), SONBHADRA/",Both
Uttar Pradesh,Sultanpur,LKN,W,61,91,"ITO, SULTANPUR/",Both
Uttar Pradesh,Unnao,LKN,W,91,92,"ITO-2(4), UNNAO-NEW/",Both
Uttar Pradesh,Varanasi,DLC,WX,264,2,EXEMPTION WARD-VARANASI,Both
Uttar Pradesh,Varanasi,LKN,C,23,2,"DC/ACIT,RANGE-1, VARANASI",Individual
Uttar Pradesh,Varanasi,LKN,W,23,1,"ITO-1(1), VARANASI",Individual
Uttar Pradesh,Varanasi,LKN,W,23,5,ITO -1(5) BHADOHI,Individual
Uttar Pradesh,Varanasi,LKN,W,23,91,"IT0-3(1), VARANASI/",Both
Uttar Pradesh,Varanasi,LKN,W,23,92,"ITO-2(1), VARANASI/",Both
Uttarakhand,Almora,LKN,W,90,97,WARD -2(3)(2) ALMORA/,Both
Uttarakhand,Bajpur,LKN,W,90,94,WARD 2(2)(4) BAJPUR/,Both
Uttarakhand,Dehradun,DLC,C,561,1,DDIT/ ADIT( INTERNATIONAL) 1 DEHRADUN,Both
Uttarakhand,Dehradun,DLC,C,561,2,DDIT/ ADIT( INTERNATIONAL) 2 DEHRADUN,Both
Uttarakhand,Dehradun,DLC,WX,257,2,"EXEMPTION WARD, DEHRADUN",Both
Uttarakhand,Dehradun,KNP,C,26,1,CIRCLE 1(1)(1) DEHRADUN,Both
Uttarakhand,Dehradun,KNP,W,26,1,WARD 1(1)(1) DEHRADUN,Both
Uttarakhand,Dehradun,KNP,W,26,2,WARD 1(1)(2) DEHRADUN,Both
Uttarakhand,Haldwani,LKN,C,90,91,CIRCLE 2(1)(1) HALDWANI/,Both
Uttarakhand,Haldwani,LKN,W,90,91,WARD 2(1)(1) HALDWANI/,Both
Uttarakhand,Hardwar,KNP,W,26,96,WARD-1(3)(1) HARDWAR/,Both
Uttarakhand,Kashipur,LKN,W,90,93,WARD-2(2)(1) KASHIPUR/,Both
Uttarakhand,Khatima,LKN,W,90,99,ITO WARD 2(3)(5) KHATIMA/,Both
Uttarakhand,Kotdwar,KNP,W,26,93,WARD 1(4)(3) KOTDWAR/,Both
Uttarakhand,Nanital,LKN,W,90,96,WARD 2(3)(1) NANITAL/,Both
Uttarakhand,Pithoragarh,LKN,W,90,98,WARD 2(3)(4) PITHORAGARH/,Both
Uttarakhand,Ram Nagar,LKN,W,90,95,WARD 2(2)(5) RAM NAGAR/,Both
Uttarakhand,Ramnagar,KAR,W,125,94,"WARD-1, RAMNAGAR/",Both
Uttarakhand,Rishikesh,KNP,W,26,92,WARD 1(4)(1) RISHIKESH/,Both
Uttarakhand,Roorkee,KNP,W,26,91,WARD -1(3)(4) ROORKEE/,Both
Uttarakhand,Rudrapur,LKN,W,90,92,WARD-2(1)(4) RUDRAPUR/,Both
Uttarakhand,Tehri,KNP,W,26,95,WARD 1(4)(5) TEHRI/,Both
West Bengal,Alipurduar,WBG,W,212,92,WARD 2(3) ALIPURDUAR/,Both
West Bengal,Asansol,WBG,C,196,1,CIRCLE 1 ASANSOL,Both
West Bengal,Asansol,WBG,C,196,91,CIRCLE 2 ASANSOL/,Both
West Bengal,Asansol,WBG,W,196,1,WARD 1(1) ASANSOL,Both
West Bengal,Asansol,WBG,W,196,91,WARD 2(1) ASANSOL/,Both
West Bengal,Asansol,WBG,W,196,92,WARD 3(1) ASANSOL/,Both
West Bengal,Balurghat,WBG,W,208,94,WARD 3(4) BALURGHAT/,Both
West Bengal,Bankura,WBG,W,201,92,WARD 3(1) BANKURA/,Both
West Bengal,Burdwan,WBG,C,201,1,"CIRCLE 1, BURDWAN",Non-Individual
West Bengal,Burdwan,WBG,W,201,1,"WARD 1(1), BURDWAN",Non-Individual
West Bengal,Burdwan,WBG,W,201,91,"WARD 2(1), BURDWAN/",Both
West Bengal,Cooch Behar,WBG,W,212,91,WARD 2(1) COOCH BEHAR/,Both
West Bengal,Darjeeling,WBG,W,208,93,WARD 3(2) DARJEELING/,Both
West Bengal,Durgapur,DLC,WX,259,1,"WARD 2(1), EXEMPTION, DURGAPUR",Both
West Bengal,Durgapur,WBG,C,190,1,"CIRCLE 1, DURGAPUR",Non-Individual
West Bengal,Durgapur,WBG,C,190,91,"CIRCLE 2, DURGAPUR/",Both
West Bengal,Durgapur,WBG,W,190,1,"WARD 1(1), DURGAPUR",Non-Individual
West Bengal,Durgapur,WBG,W,190,3,"WARD 1(3), DURGAPUR",Non-Individual
West Bengal,Durgapur,WBG,W,190,91,"WARD 2(1), DURGAPUR/",Both
West Bengal,Durgapur,WBG,W,190,92,"WARD 2(4), DURGAPUR/",Both
West Bengal,Haldia,DLC,W,511,2,ITO(IT) WARD-HALDIA,Both
West Bengal,Haldia,WBG,C,176,1,"CIRCLE 27(1), HALDIA",Both
West Bengal,Haldia,WBG,W,176,1,"WARD 27(1), HALDIA",Both
West Bengal,Haldia,WBG,W,176,3,"WARD 27(3), HALDIA",Both
West Bengal,Hooghly,WBG,C,182,2,CIRCLE 23(2)- HOOGHLY,Both
West Bengal,Hoogly,WBG,C,182,1,"CIRCLE 23(1), HOOGHLY",Non-Individual
West Bengal,Hoogly,WBG,W,182,1,"WARD 23(1), HOOGHLY",Individual
West Bengal,Hoogly,WBG,W,182,92,"WARD 24(1), HOOGLY/",Both
West Bengal,Jalpaiguri,WBG,C,207,91,"CIRCLE 2(1), JALPAIGURI/",Both
West Bengal,Jalpaiguri,WBG,C,212,1,CIRCLE 1(1) JALPAIGURI,Both
West Bengal,Jalpaiguri,WBG,C,212,2,CIRCLE 1(2) JALPAIGURI,Both
West Bengal,Jalpaiguri,WBG,W,212,1,WARD 1(1) JALPAIGURI,Both
West Bengal,Kalimpong,WBG,W,208,95,WARD 3(4) KALIMPONG/,Both
West Bengal,Kolkata,DLC,C,511,1,"CIRCLE 1(1), IT, KOLKATA",Non-Individual
West Bengal,Kolkata,DLC,C,511,2,"CIRCLE 1(2),IT, KOLKATA",Both
West Bengal,Kolkata,DLC,C,512,2,"CIRCLE 2(1), IT, KOLKATA",Non-Individual
West Bengal,Kolkata,DLC,CA,112,1,"CIRCLE 1(1), EXEMPT, KOLKATA",Both
West Bengal,Kolkata,DLC,W,511,1,"ITO(IT) WARD, KOLKATA",Both
West Bengal,Kolkata,DLC,WX,112,1,"WARD 1(1),EXEMPTION, KOLKATA",Both
West Bengal,Kolkata,DLC,WX,112,2,"WARD 1(2),EXEMPTION, KOLKATA",Both
West Bengal,Kolkata,DLC,WX,112,3,"WARD 1(3),EXEMPTION, KOLKATA",Both
West Bengal,Kolkata,DLC,WX,112,4,"WARD 1(4),EXEMPTION, KOLKATA",Both
West Bengal,Kolkata,WBG,C,101,1,"CIRCLE 1(1), KOLKATA",Non-Individual
West Bengal,Kolkata,WBG,C,103,3,DC/AC CIR-3(2),Both
West Bengal,Kolkata,WBG,C,104,1,"CIRCLE 4(1), KOLKATA",Non-Individual
West Bengal,Kolkata,WBG,C,105,1,"CIRCLE 5(1), KOLKATA",Non-Individual
West Bengal,Kolkata,WBG,C,107,1,"CIRCLE 7(1), KOLKATA",Non-Individual
West Bengal,Kolkata,WBG,C,111,1,"CIRCLE 11(1), KOLKATA",Non-Individual
West Bengal,Kolkata,WBG,C,115,1,"CIRCLE 52(1), KOLKATA",Individual
West Bengal,Kolkata,WBG,C,125,1,"CIRCLE 61, KOLKATA",Individual
West Bengal,Kolkata,WBG,C,129,1,"CIRCLE 29, KOLKATA",Individual
West Bengal,Kolkata,WBG,C,132,1,"CIRCLE 32, KOLKATA",Both
West Bengal,Kolkata,WBG,C,134,1,"CIRCLE 34, KOLKATA",Both
West Bengal,Kolkata,WBG,C,139,1,"CIRCLE 37, KOLKATA",Both
West Bengal,Kolkata,WBG,C,143,1,"CIRCLE 43, KOLKATA",Both
West Bengal,Kolkata,WBG,C,146,1,"CIRCLE 46, KOLKATA",Both
West Bengal,Kolkata,WBG,C,149,1,"CIRCLE 49(1), KOLKATA",Both
West Bengal,Kolkata,WBG,C,156,1,"CIRCLE 40, KOLKATA",Both
West Bengal,Kolkata,WBG,C,156,2,AO,Both
West Bengal,Kolkata,WBG,C,166,1,"CIRCLE 13(1), KOLKATA",Both
West Bengal,Kolkata,WBG,C,401,1,DC/ACIT HQ KOLKATA,Both
West Bengal,Kolkata,WBG,C,500,1,"CIRCLE 1 LTU, KOLKATA",Both
West Bengal,Kolkata,WBG,C,500,2,"CIRCLE 2 LTU, KOLKATA",Both
West Bengal,Kolkata,WBG,P,888,1,DCIT(COMPUTER OPERATIONS)-I,Both
West Bengal,Kolkata,WBG,W,101,1,"WARD 1(1), KOLKATA",Non-Individual
West Bengal,Kolkata,WBG,W,101,91,"WARD 2(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,101,92,"WARD 3(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,104,1,"WARD 4(1), KOLKATA",Both
West Bengal,Kolkata,WBG,W,104,3,"WARD 4(3), KOLKATA",Both
West Bengal,Kolkata,WBG,W,104,4,"WARD 4(4), KOLKATA",Non-Individual
West Bengal,Kolkata,WBG,W,105,1,"WARD 5(1), KOLKATA",Non-Individual
West Bengal,Kolkata,WBG,W,105,91,"WARD 6(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,105,92,"WARD 6(2), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,107,1,"WARD 7(1), KOLKATA",Non-Individual
West Bengal,Kolkata,WBG,W,107,91,"WARD 8(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,107,92,"WARD 8(2), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,107,93,"WARD 9(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,111,1,"WARD 11(1), KOLKATA",Non-Individual
West Bengal,Kolkata,WBG,W,111,91,"WARD 10(2), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,111,92,"WARD 12(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,115,1,"WARD 52(1), KOLKATA",Individual
West Bengal,Kolkata,WBG,W,115,91,"WARD 54(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,115,92,"WARD 54(2), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,125,1,"WARD 61(1), KOLKATA",Individual
West Bengal,Kolkata,WBG,W,125,3,"WARD 61(3), KOLKATA",Individual
West Bengal,Kolkata,WBG,W,125,91,"WARD 62(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,129,1,"WARD 29(1), KOLKATA",Both
West Bengal,Kolkata,WBG,W,129,91,"WARD 25(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,129,92,"WARD 30(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,132,1,"WARD 32(1), KOLKATA",Both
West Bengal,Kolkata,WBG,W,132,91,"WARD 33(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,132,92,"WARD 33(2), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,134,1,"WARD 34(1), KOLKATA",Both
West Bengal,Kolkata,WBG,W,134,91,"WARD 36(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,139,1,"WARD 37(1), KOLKATA",Both
West Bengal,Kolkata,WBG,W,143,1,"WARD 43(1), KOLKATA",Both
West Bengal,Kolkata,WBG,W,143,91,"WARD 44(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,143,92,"WARD 44(2), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,146,1,"WARD 46(1), KOLKATA",Both
West Bengal,Kolkata,WBG,W,146,91,"WARD 47(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,146,92,"WARD 47(2), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,149,1,"WARD 49(1), KOLKATA",Both
West Bengal,Kolkata,WBG,W,149,91,"WARD 50(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,156,1,"WARD 40(1), KOLKATA",Both
West Bengal,Kolkata,WBG,W,166,1,"WARD 13(1), KOLKATA",Both
West Bengal,Kolkata,WBG,W,166,91,"WARD 14(1), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,182,91,"WARD 22(2), KOLKATA/",Both
West Bengal,Kolkata,WBG,W,401,1,"WARD TECHNICAL - 1, KOLKATA",Both
West Bengal,Kolkata,WBG,W,402,1,"ITO TECH, KOLKATA",Both
West Bengal,Malda,WBG,W,208,92,WARD 3(1) MALDA/,Both
West Bengal,Midnapur,WBG,W,139,91,"WARD 38(1), MIDNAPUR/",Both
West Bengal,Midnapur,WBG,W,139,92,"WARD 39(1), MIDNAPUR/",Both
West Bengal,Murshidabad,WBG,W,156,93,"WARD 42(1), MURSHIDABAD/",Both
West Bengal,Nadia,WBG,W,156,91,"WARD 41(1), NADIA/",Both
West Bengal,Nadia,WBG,W,156,92,"WARD 41(3), NADIA/",Both
West Bengal,Purulia,WBG,W,196,93,WARD 3(2) PURULIA/,Both
West Bengal,Raiganj,WBG,W,212,93,WARD 2(4) RAIGANJ/,Both
West Bengal,Siliguri,DLC,WX,259,2,"WARD 2(2), EXEMPTION, SILIGURI",Both
West Bengal,Siliguri,DLC,WX,259,5,"WARD 2(3) EXEMPTION, SILIGURI",Both
West Bengal,Siliguri,WBG,C,207,1,CIRCLE 1 SILIGURI,Both
West Bengal,Siliguri,WBG,C,208,91,CIRCLE 3(1) SILIGURI/,Both
West Bengal,Siliguri,WBG,W,207,1,WARD 1(1) SILIGURI,Both
West Bengal,Siliguri,WBG,W,207,2,WARD 1(2) SILIGURI,Both
West Bengal,Siliguri,WBG,W,207,3,WARD 1(3) SILIGURI,Both
West Bengal,Siliguri,WBG,W,207,4,WARD 1(4) SILIGURI,Both
West Bengal,Suri,WBG,C,201,91,CIRCLE 3 SURI/,Both
West Bengal,Suri,WBG,W,201,93,WARD 3(1) SURI/,Both
